Energy[keV],Photon_to_nAmp_BestOf,Photon_to_nAmp_oxidized,Photon_to_nAmp_thin
0.1017,238633145.734052,238633145.734052,238958163.816412
0.1018,238547139.929719,238547139.929719,238872040.872267
0.1019,238442921.653873,238442921.653873,238767680.651245
0.102,238348332.882801,238348332.882801,238672963.05037
0.1021,238254091.970336,238254091.970336,238578593.781886
0.1022,237244268.585948,237244268.585948,237567395.019158
0.1023,236855938.747605,236855938.747605,237178536.276002
0.1024,236762505.838062,236762505.838062,237084976.110938
0.1025,236678614.74268,236678614.74268,237000970.755976
0.1026,235059213.354715,235059213.354715,235379363.7451
0.1027,234984690.136306,234984690.136306,235304739.026149
0.1028,234466003.649209,234466003.649209,234785346.088626
0.1029,234392023.283288,234392023.283288,234711264.961529
0.103,234309328.343274,234309328.343274,234628457.391097
0.1031,232759058.188511,232759058.188511,233076075.770086
0.1032,231936041.944706,231936041.944706,232251938.579061
0.1033,231862675.947248,231862675.947248,232178472.657196
0.1034,231780748.752088,231780748.752088,232096433.877286
0.1035,231254895.066512,231254895.066512,231569863.979567
0.1036,231173516.615167,231173516.615167,231488374.690861
0.1037,230375999.416453,230375999.416453,230689771.274598
0.1038,230303914.318524,230303914.318524,230617587.996845
0.1039,229844566.833137,229844566.833137,230157614.880688
0.104,229764220.060599,229764220.060599,230077158.675934
0.1041,229490789.044055,229490789.044055,229803355.246646
0.1042,229516527.954141,229516527.954141,229829129.213099
0.1043,229542745.381733,229542745.381733,229855382.348798
0.1044,229278903.145662,229278903.145662,229591180.759892
0.1045,229112217.470058,229112217.470058,229424268.058581
0.1046,229130494.34566,229130494.34566,229442569.827267
0.1047,229158037.124164,229158037.124164,229470150.119005
0.1048,228816232.441918,228816232.441918,229127879.899157
0.1049,228835485.688849,228835485.688849,229147159.36899
0.105,228723107.582224,228723107.582224,229034628.203507
0.1051,228743124.790311,228743124.790311,229054672.675009
0.1052,228763598.272595,228763598.272595,229075174.042154
0.1053,228299871.297676,228299871.297676,228610815.471605
0.1054,228135989.79827,228135989.79827,228446710.765776
0.1055,228157071.996686,228157071.996686,228467821.678124
0.1056,228187417.854059,228187417.854059,228498208.86652
0.1057,227602479.115273,227602479.115273,227912473.441815
0.1058,227624243.143433,227624243.143433,227934267.112557
0.1059,227418075.376456,227418075.376456,227727818.545308
0.106,227458055.551382,227458055.551382,227767853.173189
0.1061,226901836.289298,226901836.289298,227210876.34108
0.1062,226942031.223001,226942031.223001,227251126.020239
0.1063,226676021.287108,226676021.287108,226984753.779106
0.1064,226716803.30467,226716803.30467,227025591.341731
0.1065,226758077.818637,226758077.818637,227066922.071541
0.1066,226238980.208197,226238980.208197,226547117.450725
0.1067,225974557.650698,225974557.650698,226282334.749993
0.1068,226016176.159244,226016176.159244,226324009.942903
0.1069,226049532.763973,226049532.763973,226357411.979291
0.107,225576268.032358,225576268.032358,225883502.66163
0.1071,225609935.278952,225609935.278952,225917215.762978
0.1072,225373303.501971,225373303.501971,225680261.693776
0.1073,225407569.560434,225407569.560434,225714574.422573
0.1074,224944906.603688,224944906.603688,225251281.319389
0.1075,224970771.100439,224970771.100439,225277181.043556
0.1076,224735566.515982,224735566.515982,225041656.110713
0.1077,224753297.439135,224753297.439135,225059411.183364
0.1078,224771452.076809,224771452.076809,225077590.547634
0.1079,224293208.92969,224293208.92969,224598696.033874
0.108,224302962.140075,224302962.140075,224608462.528121
0.1081,224069376.36589,224069376.36589,224374558.610368
0.1082,224088394.17268,224088394.17268,224393602.31939
0.1083,223577493.500245,223577493.500245,223882005.800801
0.1084,223588089.640089,223588089.640089,223892616.372576
0.1085,223364670.303182,223364670.303182,223668892.738777
0.1086,223375829.865654,223375829.865654,223680067.50056
0.1087,223396081.403524,223396081.403524,223700346.621003
0.1088,222792028.941663,222792028.941663,223095471.440353
0.1089,222544230.74284,222544230.74284,222847335.740655
0.109,222556102.049633,222556102.049633,222859223.216155
0.1091,222577030.692603,222577030.692603,222880180.363914
0.1092,221924228.415484,221924228.415484,222226488.97081
0.1093,221945243.581061,221945243.581061,222247532.75902
0.1094,221656218.243641,221656218.243641,221958113.769408
0.1095,221677718.060003,221677718.060003,221979642.868495
0.1096,221019888.042854,221019888.042854,221320916.887586
0.1097,221041460.29052,221041460.29052,221342518.51663
0.1098,220737239.681108,220737239.681108,221037883.559082
0.1099,220759272.124304,220759272.124304,221059946.010441
0.11,220781715.072591,220781715.072591,221082419.525999
0.1101,220383955.943334,220383955.943334,220684118.649245
0.1102,220406750.719245,220406750.719245,220706944.471616
0.1103,220095580.530245,220095580.530245,220395350.46916
0.1104,220118820.276586,220118820.276586,220418621.86801
0.1105,219603260.434311,219603260.434311,219902359.833796
0.1106,219626713.181938,219626713.181938,219925844.52404
0.1107,219436855.127572,219436855.127572,219735727.883212
0.1108,219460881.952713,219460881.952713,219759787.432862
0.1109,219485315.391184,219485315.391184,219784254.14965
0.111,218971616.836352,218971616.836352,219269855.93795
0.1111,218723417.079568,218723417.079568,219021318.133371
0.1112,218748154.233616,218748154.233616,219046088.979395
0.1113,218764761.238186,218764761.238186,219062718.602687
0.1114,218253357.622949,218253357.622949,218550618.456288
0.1115,218270179.638051,218270179.638051,218567463.382956
0.1116,218032089.029002,218032089.029002,218329048.494759
0.1117,218049410.18533,218049410.18533,218346393.242483
0.1118,217540280.25083,217540280.25083,217836569.873572
0.1119,217557811.517008,217557811.517008,217854125.017315
0.112,217321180.839597,217321180.839597,217617172.049181
0.1121,217339206.574483,217339206.574483,217635222.335098
0.1122,217357613.768685,217357613.768685,217653654.599878
0.1123,216859021.501729,216859021.501729,217154383.250802
0.1124,216869171.220248,216869171.220248,217164546.793227
0.1125,216634095.539144,216634095.539144,216929150.939303
0.1126,216653195.686379,216653195.686379,216948277.100918
0.1127,216156808.102429,216156808.102429,216451213.437624
0.1128,216167670.811869,216167670.811869,216462090.942062
0.1129,215925589.055996,215925589.055996,216219679.471104
0.113,215945363.898253,215945363.898253,216239481.246674
0.1131,215957064.66029,215957064.66029,216251197.945136
0.1132,215462749.952781,215462749.952781,215756209.981538
0.1133,215222117.43361,215222117.43361,215515249.72114
0.1134,215234140.746912,215234140.746912,215527289.410182
0.1135,215254947.220961,215254947.220961,215548124.222626
0.1136,214754431.03683,214754431.03683,215046926.336002
0.1137,214767022.912001,214767022.912001,215059535.361293
0.1138,214527941.021672,214527941.021672,214820127.841692
0.1139,214549392.931592,214549392.931592,214841608.969091
0.114,214051106.320198,214051106.320198,214342643.691879
0.1141,214072741.976478,214072741.976478,214364308.815899
0.1142,213835077.958157,213835077.958157,214126321.099446
0.1143,213848800.502224,213848800.502224,214140062.333602
0.1144,213862876.548186,213862876.548186,214154157.551124
0.1145,213374991.350035,213374991.350035,213665607.853869
0.1146,213389267.726907,213389267.726907,213679903.675151
0.1147,213186521.07323,213186521.07323,213476880.880754
0.1148,213226366.49722,213226366.49722,213516780.574168
0.1149,212773759.74347,212773759.74347,213063557.370516
0.115,212813806.563325,212813806.563325,213103658.734096
0.1151,212603902.575798,212603902.575798,212893468.857569
0.1152,212652796.758687,212652796.758687,212942429.634281
0.1153,212693762.038537,212693762.038537,212983450.708797
0.1154,212234267.122381,212234267.122381,212523329.96107
0.1155,212033873.961263,212033873.961263,212322663.864687
0.1156,212075127.139836,212075127.139836,212363973.230043
0.1157,212116785.646777,212116785.646777,212405688.475826
0.1158,211667278.62825,211667278.62825,211955569.229233
0.1159,211709128.916688,211709128.916688,211997476.517718
0.116,211501676.869922,211501676.869922,211789741.921492
0.1161,211544020.942917,211544020.942917,211832143.667068
0.1162,211096157.420367,211096157.420367,211383670.154892
0.1163,211138689.236419,211138689.236419,211426259.899231
0.1164,210932402.97656,210932402.97656,211219692.677713
0.1165,210967117.318121,210967117.318121,211254454.300169
0.1166,211002214.014192,211002214.014192,211289598.797901
0.1167,210539238.07696,210539238.07696,210825992.287951
0.1168,210574505.130514,210574505.130514,210861307.375193
0.1169,210361215.186702,210361215.186702,210647726.930712
0.117,210388649.733847,210388649.733847,210675198.84368
0.1171,209935759.449815,209935759.449815,210221691.723579
0.1172,209963379.780907,209963379.780907,210249349.673532
0.1173,209751304.282703,209751304.282703,210036985.328732
0.1174,209779376.699625,209779376.699625,210065095.980255
0.1175,209807809.265367,209807809.265367,210093567.27112
0.1176,209356521.68393,209356521.68393,209641665.036493
0.1177,209145648.699333,209145648.699333,209430504.843122
0.1178,209174351.366785,209174351.366785,209459246.603576
0.1179,209203412.518325,209203412.518325,209488347.336372
0.118,208753887.612434,208753887.612434,209038210.178054
0.1181,208783125.367006,208783125.367006,209067487.754415
0.1182,208573530.78037,208573530.78037,208857607.700182
0.1183,208603213.038144,208603213.038144,208887330.385159
0.1184,208138997.490598,208138997.490598,208422482.576547
0.1185,208135929.642347,208135929.642347,208419410.54989
0.1186,207902926.693452,207902926.693452,208186090.251235
0.1187,207900253.600779,207900253.600779,208183413.517812
0.1188,207906098.483255,207906098.483255,208189266.361011
0.1189,207435724.664577,207435724.664577,207718251.893709
0.119,207433546.148766,207433546.148766,207716070.410763
0.1191,207202015.973236,207202015.973236,207484224.891388
0.1192,207200227.556846,207200227.556846,207482434.039176
0.1193,206732045.820233,206732045.820233,207013614.639552
0.1194,206738626.396174,206738626.396174,207020204.178231
0.1195,206508452.739853,206508452.739853,206789717.025643
0.1196,206507250.207157,206507250.207157,206788512.855099
0.1197,206506334.651882,206506334.651882,206787596.052838
0.1198,206040198.463539,206040198.463539,206320824.987518
0.1199,205811379.707465,205811379.707465,206091694.58055
0.12,205810748.559082,205810748.559082,206091062.572544
0.1201,205818553.354124,205818553.354124,206098877.997708
0.1202,205354540.565158,205354540.565158,205634233.223833
0.1203,205354385.166517,205354385.166517,205634077.613539
0.1204,205118875.471287,205118875.471287,205398247.154363
0.1205,205119091.182528,205119091.182528,205398463.159403
0.1206,204657243.582197,204657243.582197,204935986.523147
0.1207,204657639.511989,204657639.511989,204936382.992195
0.1208,204423496.672436,204423496.672436,204701921.250352
0.1209,204424259.944183,204424259.944183,204702685.561674
0.121,204425304.430547,204425304.430547,204703731.470628
0.1211,203965499.192427,203965499.192427,204243299.978278
0.1212,203966718.963138,203966718.963138,204244521.410316
0.1213,203734013.825456,203734013.825456,204011499.328492
0.1214,203735596.597981,203735596.597981,204013084.256751
0.1215,203277918.722437,203277918.722437,203554783.024443
0.1216,203279673.172947,203279673.172947,203556539.864513
0.1217,203048307.615032,203048307.615032,203324859.186962
0.1218,203050421.417187,203050421.417187,203326975.868113
0.1219,203044760.489685,203044760.489685,203321307.230434
0.122,202597135.143399,202597135.143399,202873072.218919
0.1221,202367096.694043,202367096.694043,202642720.457447
0.1222,202369734.377069,202369734.377069,202645361.732995
0.1223,202356599.134555,202356599.134555,202632208.600295
0.1224,201895076.94567,201895076.94567,202170057.818696
0.1225,201882133.84424,201882133.84424,202157097.088776
0.1226,201645558.686124,201645558.686124,201920199.715554
0.1227,201640952.96217,201640952.96217,201915587.718609
0.1228,201181680.576956,201181680.576956,201455689.804911
