Energy[keV],Photon_to_nAmp_BestOf,Photon_to_nAmp_oxidized,Photon_to_nAmp_thin
0.1229,201169276.166059,201169276.166059,201443268.49922
0.123,200934089.652453,200934089.652453,201207761.661841
0.1231,200922026.214418,200922026.214418,201195681.793416
0.1232,200918177.862015,200918177.862015,201191828.199562
0.1233,200461074.513339,200461074.513339,200734102.276627
0.1234,200449447.618284,200449447.618284,200722459.545753
0.1235,200215728.271856,200215728.271856,200488421.873832
0.1236,200204438.06624,200204438.06624,200477116.290969
0.1237,199757483.69294,199757483.69294,200029553.166303
0.1238,199746379.34959,199746379.34959,200018433.69885
0.1239,199521923.634644,199521923.634644,199793672.275466
0.124,199503250.262174,199503250.262174,199774973.469883
0.1241,199492722.521105,199492722.521105,199764431.390043
0.1242,199047870.329459,199047870.329459,199318973.310201
0.1243,198824733.816509,198824733.816509,199095532.885565
0.1244,198806602.320043,198806602.320043,199077376.694021
0.1245,198796584.867574,198796584.867574,199067345.597793
0.1246,198353876.623208,198353876.623208,198624034.385284
0.1247,198344037.105011,198344037.105011,198614181.465674
0.1248,198114450.561943,198114450.561943,198384282.225987
0.1249,198104936.598703,198104936.598703,198374755.304739
0.125,197664354.858546,197664354.858546,197933573.492736
0.1251,197655015.520177,197655015.520177,197924221.434199
0.1252,197426751.868181,197426751.868181,197695646.88736
0.1253,197417734.694253,197417734.694253,197686617.43205
0.1254,197401126.266721,197401126.266721,197669986.383859
0.1255,196962615.600241,196962615.600241,197230878.466333
0.1256,196954001.241969,196954001.241969,197222252.375313
0.1257,196727142.112006,196727142.112006,196995084.263465
0.1258,196718845.945629,196718845.945629,196986776.797719
0.1259,196282425.878872,196282425.878872,196549762.32731
0.126,196274296.793011,196274296.793011,196541622.169643
0.1261,196048735.090554,196048735.090554,196315753.252394
0.1262,196040920.909142,196040920.909142,196307928.428077
0.1263,196033341.317328,196033341.317328,196300338.512867
0.1264,195606672.706729,195606672.706729,195873088.780089
0.1265,195390122.430788,195390122.430788,195656243.56291
0.1266,195382794.913872,195382794.913872,195648906.065924
0.1267,195375700.346069,195375700.346069,195641801.835327
0.1268,194951003.622286,194951003.622286,195216526.675073
0.1269,194936347.958954,194936347.958954,195201851.050743
0.127,194721114.495101,194721114.495101,194986324.439149
