Energy[keV],Photon_to_nAmp
9.34,71824100
9.36,72250200
9.38,72669700
9.4,73099900
9.42,73535400
9.44,73943700
9.46,74359900
9.48,74784200
9.5,75193600
9.52,75590900
9.54,75988400
9.56,76394200
9.58,76769500
9.6,77141400
9.62,77520600
9.64,77888900
9.66,78217900
9.68,78553400
9.7,78888000
9.72,79196000
9.74,79476700
9.76,79763300
9.78,80051900
9.8,80274200
9.82,80494600
9.84,80715500
9.86,80911400
9.88,81057600
9.9,81200500
9.92,81339800
9.94,81425300
9.96,81472400
9.98,81526800
10,81573400
