Simulation Number,Dipole.photonEnergy,ExitSlit.openingHeight,PG.cFactor,Dipole.numberRays,M1.roughnessSubstrate,M1.roughnessCoating1,PremirrorM2.roughnessSubstrate,PremirrorM2.roughnessCoating1,PG.roughnessSubstrate,M3.roughnessSubstrate,M3.roughnessCoating1,KB1.roughnessSubstrate,KB1.roughnessCoating1,KB2.roughnessSubstrate,KB2.roughnessCoating1
238,1500,0.05,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
239,1500,0.05,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
240,1500,0.05,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
241,1500,0.05,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
242,1500,0.05,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
243,1500,0.05,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
244,1500,0.05,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
245,1500,0.05,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
246,1500,0.05,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
247,1500,0.05,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
248,1500,0.05,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
249,1500,0.05,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
250,1500,0.05,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
251,1500,0.05,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
252,1500,0.05,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
253,1500,0.05,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
254,1500,0.05,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
255,1500,0.05,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
256,1500,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
257,1500,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
258,1500,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
259,1500,0.05,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
260,1750,0.1,5,50000,0,0,0,0,0,0,0,0,0,0,0
261,1750,0.1,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
262,1750,0.1,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
263,1750,0.1,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
264,1750,0.1,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
265,1750,0.1,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
266,1750,0.1,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
267,1750,0.1,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
268,1750,0.1,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
269,1750,0.1,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
270,1750,0.1,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
271,1750,0.1,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
272,1750,0.1,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
273,1750,0.1,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
274,1750,0.1,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
275,1750,0.1,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
276,1750,0.1,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
277,1750,0.1,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
278,1750,0.1,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
279,1750,0.1,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
280,1750,0.1,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
281,1750,0.1,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
282,1750,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
283,1750,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
284,1750,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
285,1750,0.1,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
286,1750,0.05,5,50000,0,0,0,0,0,0,0,0,0,0,0
287,1750,0.05,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
288,1750,0.05,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
289,1750,0.05,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
290,1750,0.05,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
291,1750,0.05,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
292,1750,0.05,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
293,1750,0.05,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
294,1750,0.05,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
295,1750,0.05,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
296,1750,0.05,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
297,1750,0.05,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
298,1750,0.05,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
299,1750,0.05,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
300,1750,0.05,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
301,1750,0.05,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
302,1750,0.05,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
303,1750,0.05,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
304,1750,0.05,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
305,1750,0.05,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
306,1750,0.05,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
307,1750,0.05,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
308,1750,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
309,1750,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
310,1750,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
311,1750,0.05,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
312,2000,0.1,5,50000,0,0,0,0,0,0,0,0,0,0,0
313,2000,0.1,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
314,2000,0.1,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
315,2000,0.1,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
316,2000,0.1,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
317,2000,0.1,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
318,2000,0.1,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
319,2000,0.1,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
320,2000,0.1,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
321,2000,0.1,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
322,2000,0.1,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
323,2000,0.1,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
324,2000,0.1,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
325,2000,0.1,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
326,2000,0.1,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
