,Simulation Number,Dipole.photonEnergy,ExitSlit.totalHeight,PG.cFactor,Dipole.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
10,10,2700,0.1,2.25,50000.0,5143960000000.0,2.7,50000.0,100.0,2700.0,2.6876438996077923,0.135419929295505,0.0920577512703225,0.1140728615628606,0.0257928624186396,-0.0009671246897847,-0.0001048458041062,5143960000000.0,1.0045973725886868,100.45973725886869,5167608700701.301,0.0005992287778439,0.0002994766104852
11,11,2700,0.2,2.25,50000.0,5143960000000.0,2.7,50000.0,100.0,2700.0,2.687672448030753,0.1386678406215071,0.0918942703694193,0.1140758156657158,0.0258326143348489,-0.0009748082587763,-0.000152400253481,5143960000000.0,1.004586701768022,100.45867017680222,5167553810426.636,0.0005992287778439,0.0002994766104852
12,12,3200,0.1,2.25,50000.0,4450230000000.0,3.2,50000.0,100.0,3200.0,3.185483354461212,0.1402453853533432,0.0938434846626784,0.1140694805469811,0.0239592524391919,-0.0003149668221148,-0.000116613705949,4450230000000.0,1.0045571249080485,100.45571249080484,4470510253979.543,0.0006171100585616,0.0002611085686122
13,13,3200,0.2,2.25,50000.0,4450230000000.0,3.2,50000.0,100.0,3200.0,3.185542322598394,0.1437747523166953,0.0918140798756563,0.1140691258325769,0.0242664607207048,-0.0006764903960446,-0.0001114960552028,4450230000000.0,1.0045385293734892,100.45385293734893,4470427499573.783,0.0006171100585616,0.0002611085686122
14,14,3700,0.1,2.25,50000.0,3823870000000.0,3.7,50000.0,100.0,3700.0,3.683299038360929,0.138752469502516,0.0894256838457269,0.1140762675946185,0.0210967752253076,-0.0011503389809579,4.546499440362514e-05,3823870000000.0,1.0045342399477029,100.45342399477028,3841208344108.823,0.0006130372428465,0.0002165602895119
15,15,3700,0.2,2.25,50000.0,3823870000000.0,3.7,50000.0,100.0,3700.0,3.683141540360338,0.1429979951832133,0.088183300667127,0.1140771172360186,0.0216069720983079,-0.0007249146852963,-1.2690240710620983e-05,3823870000000.0,1.0045771957050589,100.45771957050589,3841372601340.704,0.0006130372428465,0.0002165602895119
16,16,4200,0.1,2.25,50000.0,3268740000000.0,4.2,50000.0,100.0,4200.0,4.18098399982955,0.1475909233324354,0.0913283258418208,0.1140776170099683,0.0201404765936787,-0.0008498695616877,-0.0003454645782288,3268740000000.0,1.0045482116581228,100.45482116581228,3283606921375.3726,0.000587443176001,0.000170547108973
17,17,4200,0.2,2.25,50000.0,3268740000000.0,4.2,50000.0,100.0,4200.0,4.180792748929889,0.1277678497311432,0.0904673130480143,0.1140738471933785,0.020349362456488,-0.0009549082920154,0.0001486683498979,3268740000000.0,1.0045941648447,100.45941648447004,3283757130394.465,0.000587443176001,0.000170547108973
18,18,4700,0.1,2.25,50000.0,2782880000000.0,4.7,50000.0,100.0,4700.0,4.678877189643572,0.1337595869308651,0.0901577369602907,0.1140694528582451,0.0184886619893373,-0.0009999463442174,-0.0002306944160161,2782880000000.0,1.0045145041214552,100.4514504121455,2795443323229.515,0.0005406795767085,0.0001295242350619
19,19,4700,0.2,2.25,50000.0,2782880000000.0,4.7,50000.0,100.0,4700.0,4.678771125918502,0.1393822699233692,0.09481019134782,0.1140760750655895,0.0187294304424756,-0.0006519414107715,-3.312501341341007e-05,2782880000000.0,1.0045372756029671,100.45372756029674,2795506693529.9863,0.0005406795767085,0.0001295242350619
20,20,5200,0.1,2.25,50000.0,2361460000000.0,5.2,50000.0,100.0,5200.0,5.175965678436114,0.1329360992560475,0.0918110118583391,0.114070410880128,0.0182727109323678,-0.0007784971792593,-0.0001201429929811,2361460000000.0,1.004643446857466,100.4643446857466,2372425314016.032,0.000477766011117,9.611386521445376e-05
21,21,5200,0.2,2.25,50000.0,2361460000000.0,5.2,50000.0,100.0,5200.0,5.17600793730162,0.1414843156945591,0.0873803177316213,0.1140750395934876,0.0166545002898214,-0.0005380156217941,-0.0005908656849928,2361460000000.0,1.004635244572459,100.46352445724588,2372405944648.0786,0.000477766011117,9.611386521445376e-05
22,22,5700,0.1,2.25,50000.0,1998400000000.0,5.7,50000.0,100.0,5700.0,5.674220076604797,0.1345169210748892,0.0897081974517892,0.1140768572634642,0.0165763133320461,-0.0006841451171035,-0.000108133665686,1998400000000.0,1.0045433421769268,100.45433421769268,2007479415006.37,0.0004074181565242,7.056771272895487e-05
23,23,5700,0.2,2.25,50000.0,1998400000000.0,5.7,50000.0,100.0,5700.0,5.674433996502557,0.1358719667190851,0.0849773523088811,0.1140692294584565,0.0165083850820495,-0.0007723078242395,0.000124280246388,1998400000000.0,1.0045054720018245,100.45054720018244,2007403735248.4456,0.0004074181565242,7.056771272895487e-05
24,24,6200,0.1,2.25,50000.0,1687270000000.0,6.2,50000.0,100.0,6200.0,6.171809783250865,0.1313287881828672,0.0916392718065021,0.1140772657637204,0.0159569358555042,-0.0005541424462422,-0.0001228393705725,1687270000000.0,1.004567577054244,100.4567577054244,1694976735736.3145,0.0003377076198394,5.1848357834701807e-05
25,25,6200,0.2,2.25,50000.0,1687270000000.0,6.2,50000.0,100.0,6200.0,6.171597882079368,0.1409814839214297,0.0901508586601595,0.1140760402070913,0.0161928809604893,-0.0004841996909319,2.262899619793549e-05,1687270000000.0,1.0046020687775372,100.46020687775372,1695034932586.2751,0.0003377076198394,5.1848357834701807e-05
26,26,6700,0.1,2.25,50000.0,1421780000000.0,6.7,50000.0,100.0,6700.0,6.66943914415333,0.1371559887159228,0.0869463542899955,0.1140731442887322,0.0157380360922954,-0.0005012741691755,-0.000105372652517,1421780000000.0,1.004582222760584,100.4582222760584,1428294912676.5437,0.0002740487900803,3.843479671280277e-05
27,27,6700,0.2,2.25,50000.0,1421780000000.0,6.7,50000.0,100.0,6700.0,6.669641796972428,0.1383776954870548,0.0935875269440965,0.1140775974024084,0.0146565036303856,-0.0007456825740969,7.699648289790281e-05,1421780000000.0,1.0045516991694146,100.45516991694146,1428251514845.0903,0.0002740487900803,3.843479671280277e-05
28,28,7200,0.1,2.25,50000.0,1196010000000.0,7.2,50000.0,100.0,7200.0,7.167650943856643,0.1312270999361852,0.0916433188443512,0.1140769304783914,0.0142973968556917,-0.0011417570052913,7.694330607458924e-05,1196010000000.0,1.004513201939763,100.45132019397629,1201407834651.9758,0.0002189966201905,2.880258354124322e-05
29,29,7200,0.2,2.25,50000.0,1196010000000.0,7.2,50000.0,100.0,7200.0,7.167428819825545,0.137706971493124,0.0940534819216579,0.1140733684484915,0.0146257124547734,-0.000447688432851,1.8949588158377075e-05,1196010000000.0,1.0045443325623773,100.45443325623772,1201445067187.9287,0.0002189966201905,2.880258354124322e-05
